epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,23667.9,0.85645,0.39935,0.92385,0.92743,0.90091,0.94817,0.55996,1.2413,0.46181,1.13353,0.002872,0.002872,0.002872
74,23916.7,0.84894,0.39693,0.92079,0.92771,0.89821,0.94713,0.55834,1.24395,0.4643,1.13485,0.002773,0.002773,0.002773
75,24161.7,0.84223,0.39346,0.91895,0.92716,0.89778,0.94649,0.55962,1.24158,0.46337,1.13522,0.002674,0.002674,0.002674
76,24403.3,0.8389,0.39271,0.9191,0.92411,0.89922,0.94627,0.55983,1.24082,0.4644,1.13496,0.002575,0.002575,0.002575
77,24651.3,0.83301,0.39068,0.91556,0.92444,0.89886,0.94613,0.55929,1.24097,0.4635,1.13551,0.002476,0.002476,0.002476
78,24914.7,0.83139,0.38886,0.91739,0.92549,0.89984,0.94685,0.55998,1.24194,0.46383,1.13508,0.002377,0.002377,0.002377
79,25178.4,0.82661,0.388,0.91477,0.92666,0.89893,0.94719,0.55924,1.24239,0.46337,1.13546,0.002278,0.002278,0.002278
80,25417.1,0.82374,0.38748,0.91554,0.92732,0.89806,0.94688,0.55937,1.24348,0.46408,1.13613,0.002179,0.002179,0.002179
81,25644.7,0.8207,0.38647,0.91301,0.92853,0.89752,0.94719,0.55865,1.24442,0.46468,1.13708,0.00208,0.00208,0.00208
82,25897.8,0.81289,0.38382,0.91127,0.92942,0.89836,0.94681,0.55871,1.24503,0.46474,1.13793,0.001981,0.001981,0.001981
83,26141.7,0.80236,0.37931,0.90835,0.93069,0.89707,0.94693,0.55922,1.24376,0.46523,1.13879,0.001882,0.001882,0.001882
84,26445.3,0.80376,0.37914,0.90767,0.92974,0.89702,0.94681,0.55888,1.24329,0.46499,1.13954,0.001783,0.001783,0.001783
85,26676,0.7991,0.37627,0.90681,0.92961,0.8966,0.94644,0.55858,1.24309,0.46486,1.14047,0.001684,0.001684,0.001684
86,26905,0.7925,0.37491,0.90658,0.92819,0.8971,0.94641,0.5588,1.24273,0.46498,1.14157,0.001585,0.001585,0.001585
87,27127.9,0.7876,0.37306,0.90425,0.9295,0.89616,0.94654,0.55865,1.24335,0.46457,1.1422,0.001486,0.001486,0.001486
88,27356.1,0.78167,0.36994,0.90446,0.92837,0.89678,0.94618,0.55855,1.24369,0.46506,1.14283,0.001387,0.001387,0.001387
89,27767.3,0.78256,0.36925,0.90282,0.92682,0.89832,0.94598,0.55862,1.244,0.465,1.14336,0.001288,0.001288,0.001288
90,28045.4,0.775,0.36735,0.90298,0.92646,0.898,0.94537,0.55827,1.2438,0.46543,1.1435,0.001189,0.001189,0.001189
91,28287.4,0.71418,0.32473,0.87468,0.92652,0.89789,0.94511,0.55835,1.24384,0.4653,1.14488,0.00109,0.00109,0.00109
92,28521.3,0.69291,0.3181,0.8672,0.92886,0.89493,0.94558,0.55849,1.24325,0.46633,1.14562,0.000991,0.000991,0.000991
93,28747.2,0.68722,0.31559,0.8673,0.92821,0.89746,0.94576,0.55909,1.24331,0.46719,1.14693,0.000892,0.000892,0.000892
94,28976.8,0.67803,0.31235,0.86459,0.92777,0.89735,0.94574,0.55918,1.24323,0.46845,1.14822,0.000793,0.000793,0.000793
95,29203.7,0.67285,0.31081,0.86358,0.92716,0.89681,0.94594,0.55914,1.24345,0.47002,1.14965,0.000694,0.000694,0.000694
96,29440.8,0.6681,0.3089,0.86224,0.92585,0.89636,0.9454,0.55928,1.24356,0.4698,1.15116,0.000595,0.000595,0.000595
97,29664.4,0.66229,0.30755,0.85902,0.9255,0.89593,0.94503,0.55913,1.24403,0.47004,1.15224,0.000496,0.000496,0.000496
98,29893.7,0.65702,0.30466,0.85761,0.92588,0.89637,0.94495,0.55927,1.24422,0.47113,1.15358,0.000397,0.000397,0.000397
99,30116.1,0.65386,0.30487,0.85875,0.92548,0.89698,0.94508,0.55887,1.24444,0.4713,1.15457,0.000298,0.000298,0.000298
100,30343.9,0.64745,0.30231,0.85601,0.92596,0.89654,0.94467,0.5589,1.24454,0.47225,1.15543,0.000199,0.000199,0.000199
